Author	Link	identifier	givenName	familyName	alternateNames	birthDate	birthPlace	birthCountry	deathDate	deathPlace	deathCountry	gender	occupation	period	language	category	organisation	occupationHisclass	Hisclass	lowestHisclass
Ingrid van de Wijer	https://www.dbnl.org/auteurs/auteur.php?id=wije004	wije004	Ingrid	van de Wijer	Ingrid van de Wijer	1955-xx-xx	Ukkel	België (Brussel)				female	leraar/docent/hoogleraar	20e/21e Eeuw		secundair/nonfictie		hoogleraar/leraar/docent	2.0/2.0/2.0	2.0
Dorian Cumps	https://www.dbnl.org/auteurs/auteur.php?id=cump001	cump001	Dorian	Cumps	Dorian Cumps	1956-xx-xx						male		20e/21e Eeuw		secundair				
Luc Libaut	https://www.dbnl.org/auteurs/auteur.php?id=liba002	liba002	Luc	Libaut	Luc Libaut	19xx-xx-xx						male		Twintigste Eeuw		secundair				
Paul Schampaert	https://www.dbnl.org/auteurs/auteur.php?id=scha039	scha039	Paul	Schampaert	Paul Schampaert	19xx-xx-xx						male	leraar/docent/hoogleraar	20e/21e Eeuw		secundair		hoogleraar/leraar/docent	2.0/2.0/2.0	2.0
Willy L. Braekman	https://www.dbnl.org/auteurs/auteur.php?id=brae003	brae003	Willy Louis Prosper	Braekman	Willy L. Braekman	1931-10-xx	Sint-Lievens-Houtem	België (Vlaanderen)		Mariakerke	België (Vlaanderen)	male		20e/21e Eeuw	nl	secundair/taalkunde				
J. Huyghebaert	https://www.dbnl.org/auteurs/auteur.php?id=huyg021	huyg021	Jozef	Huyghebaert	J. Huyghebaert	1943-xx-xx						male		20e/21e Eeuw		secundair				
Pascal Tasiaux	https://www.dbnl.org/auteurs/auteur.php?id=tasi001	tasi001	Pascal	Tasiaux	Pascal Tasiaux	1957-xx-xx						male		Twintigste Eeuw		secundair				
Karel Hellemans	https://www.dbnl.org/auteurs/auteur.php?id=hell008	hell008	Karel	Hellemans	Karel Hellemans	1944-xx-xx	Borgerhout	België (Vlaanderen)				male		20e/21e Eeuw	nl	secundair				
J. Delsing	https://www.dbnl.org/auteurs/auteur.php?id=dels005	dels005	J.	Delsing	J. Delsing	17xx-xx-xx						male		Achttiende Eeuw	nl	secundair				
Gisleine Peeters	https://www.dbnl.org/auteurs/auteur.php?id=peet054	peet054	Gisleine	Peeters	Gisleine Peeters	19xx-xx-xx						female		Twintigste Eeuw		secundair/nonfictie				
Arie Zevenhuijzen	https://www.dbnl.org/auteurs/auteur.php?id=zeve006	zeve006	Arie	Zevenhuijzen	Arie Zevenhuijzen	19xx-xx-xx						male		20e/21e Eeuw		secundair				
Viviane Geuffens	https://www.dbnl.org/auteurs/auteur.php?id=geuf001	geuf001	Viviane	Geuffens	Viviane Geuffens	19xx-xx-xx						male		Twintigste Eeuw		secundair				
Martha Gerlo	https://www.dbnl.org/auteurs/auteur.php?id=gerl020	gerl020	Martha	Gerlo	Martha Gerlo	19xx-xx-xx						female		Twintigste Eeuw		secundair				
N. Rowan	https://www.dbnl.org/auteurs/auteur.php?id=rowa001	rowa001	Nicole	Rowan	N. Rowan/Nicole Geraert-Rowan	19xx-xx-xx						female		20e/21e Eeuw		secundair				
Ludo Verbeeck	https://www.dbnl.org/auteurs/auteur.php?id=verb159	verb159	Lodewijk	Verbeeck	Ludo Verbeeck	1925-03-20	Antwerpen	België (Vlaanderen)		Leuven	België (Vlaanderen)	male	letterkundige (NIET-neerl.)	Twintigste Eeuw		nonfictie		letterkundige	2.0	2.0
Bert Schreurs	https://www.dbnl.org/auteurs/auteur.php?id=schr179	schr179	Bert	Schreurs	Bert Schreurs	19xx-xx-xx						male		Twintigste Eeuw		secundair				
Luc Dirikx	https://www.dbnl.org/auteurs/auteur.php?id=diri003	diri003	Luc	Dirikx	Luc Dirikx	19xx-xx-xx						male		Twintigste Eeuw		secundair				
Piet de Keyser	https://www.dbnl.org/auteurs/auteur.php?id=keys012	keys012	Piet	de Keyser	Piet de Keyser	1955-xx-xx	Knokke	België (Vlaanderen)				male		20e/21e Eeuw	nl	secundair				
Jan Muylle	https://www.dbnl.org/auteurs/auteur.php?id=muyl009	muyl009	Jan	Muylle	Jan Muylle	19xx-xx-xx						male		20e/21e Eeuw		nonfictie				
Bart Philipsen	https://www.dbnl.org/auteurs/auteur.php?id=phil070	phil070	B.R.H.	Philipsen	Bart Philipsen	1961-xx-xx						male		20e/21e Eeuw		secundair				
Jan Roelans	https://www.dbnl.org/auteurs/auteur.php?id=roel098	roel098	Jan	Roelans	Jan Roelans	1961-xx-xx						male		Twintigste Eeuw		secundair				
Erik Hertog	https://www.dbnl.org/auteurs/auteur.php?id=hert028	hert028	Erik	Hertog	Erik Hertog	1946-xx-xx						male		20e/21e Eeuw		secundair				
Theo Coun	https://www.dbnl.org/auteurs/auteur.php?id=coun001	coun001	Theo	Coun	Theo Coun	1945-xx-xx						male		20e/21e Eeuw	nl	taalkunde				
Rik Van Daele	https://www.dbnl.org/auteurs/auteur.php?id=dael009	dael009	Rik	Van Daele	Rik Van Daele	1962-06-15	Sint-Niklaas	België (Vlaanderen)				male		20e/21e Eeuw	nl	secundair				
Ignace Bossuyt	https://www.dbnl.org/auteurs/auteur.php?id=boss031	boss031	Ignace	Bossuyt	Ignace Bossuyt	1947-xx-xx						male	jongleur/musicus/minstreel	20e/21e Eeuw		secundair		speelman/acrobaat/musicus	4.0/7.0/4.0	4.0
Jan Herman	https://www.dbnl.org/auteurs/auteur.php?id=herm110	herm110	Jan	Herman	Jan Herman							male		Twintigste Eeuw		nonfictie				
Joris Vlasselaers	https://www.dbnl.org/auteurs/auteur.php?id=vlas002	vlas002	Joris	Vlasselaers	Joris Vlasselaers	1935-xx-xx						male		20e/21e Eeuw	nl	secundair				
Robert Vandeputte	https://www.dbnl.org/auteurs/auteur.php?id=vand192	vand192	Robert Maria Antoine Cyrille	Vandeputte	Robert Vandeputte	1908-02-26	Antwerpen	België (Vlaanderen)	1997-11-18	Brussel	België (Brussel)	male	leraar/jurist/hoogleraar/docent/advocaat	Twintigste Eeuw	nl	nonfictie		advocaat/jurist/hoogleraar/leraar/docent	2.0/2.0/2.0/2.0/2.0	2.0
Jos. Deckers	https://www.dbnl.org/auteurs/auteur.php?id=deck039	deck039	Jos.	Deckers	Jos. Deckers	19xx-xx-xx						male		Twintigste Eeuw		nonfictie				
R. van Ooteghem	https://www.dbnl.org/auteurs/auteur.php?id=oote001	oote001	R.	van Ooteghem	R. van Ooteghem	18xx-xx-xx						male		Twintigste Eeuw		nonfictie				
K. du Bois de Vroylande	https://www.dbnl.org/auteurs/auteur.php?id=bois037	bois037	K.	du Bois de Vroylande	K. du Bois de Vroylande	18xx-xx-xx						male	rk-geestelijke/kloosterling	Twintigste Eeuw		nonfictie		rooms-katholiek geestelijke/kloosterling	2.0/4.0	2.0
R. Verschroeven	https://www.dbnl.org/auteurs/auteur.php?id=vers218	vers218	R.	Verschroeven	R. Verschroeven	19xx-xx-xx						male		Twintigste Eeuw		nonfictie				
C. de Bievre	https://www.dbnl.org/auteurs/auteur.php?id=biev001	biev001	C.	de Bievre	C. de Bievre	19xx-xx-xx						male		Twintigste Eeuw		nonfictie				
Hugo Vandeperre	https://www.dbnl.org/auteurs/auteur.php?id=vand193	vand193	Hugo	Vandeperre	Hugo Vandeperre/Hugo van de Perre	1914-01-24	Antwerpen	België (Vlaanderen)		Londen	Groot-Brittannië (en Noord-Ierland)	male		Twintigste Eeuw		secundair				
F. De Raedemaeker	https://www.dbnl.org/auteurs/auteur.php?id=raed005	raed005	Frans Cornelius	De Raedemaeker	F. De Raedemaeker	1894-xx-xx						male		Twintigste Eeuw		nonfictie				
A. Wuyts	https://www.dbnl.org/auteurs/auteur.php?id=wuyt009	wuyt009	A.	Wuyts	A. Wuyts	19xx-xx-xx						male		Twintigste Eeuw		secundair				
Ad. Jansen	https://www.dbnl.org/auteurs/auteur.php?id=jans390	jans390	Ad.	Jansen	Ad. Jansen	18xx-xx-xx						male		Twintigste Eeuw		nonfictie				
R. Goris	https://www.dbnl.org/auteurs/auteur.php?id=gori027	gori027	R.	Goris	R. Goris	19xx-xx-xx						male	advocaat/jurist	Twintigste Eeuw		nonfictie		advocaat/jurist	2.0/2.0	2.0
J. Hoet	https://www.dbnl.org/auteurs/auteur.php?id=hoet020	hoet020	J.	Hoet	J. Hoet	19xx-xx-xx						male		Twintigste Eeuw		nonfictie				
Gaston Van Bulck	https://www.dbnl.org/auteurs/auteur.php?id=bulc003	bulc003	Gaston	Van Bulck	Gaston Van Bulck/V. van Bulck/Vaast	1903-xx-xx			1966-xx-xx			male		Twintigste Eeuw		nonfictie				
J. Verelst	https://www.dbnl.org/auteurs/auteur.php?id=vere041	vere041	J.	Verelst	J. Verelst	19xx-xx-xx						male		Twintigste Eeuw		secundair				
K. van Baarle	https://www.dbnl.org/auteurs/auteur.php?id=baar053	baar053	K.	van Baarle	K. van Baarle	19xx-xx-xx						male		Twintigste Eeuw		secundair				
Juliaan Vervoort	https://www.dbnl.org/auteurs/auteur.php?id=verv060	verv060	Juliaan	Vervoort	Juliaan Vervoort	18xx-xx-xx						male		Twintigste Eeuw		nonfictie				
Albert Van den Daele	https://www.dbnl.org/auteurs/auteur.php?id=dael001	dael001	Albert	Van den Daele	Albert Van den Daele	1904-01-09	Baaigem	België (Vlaanderen)	1978-02-27	Antwerpen	België (Vlaanderen)	male	rk-geestelijke/kloosterling	Twintigste Eeuw		secundair		rooms-katholiek geestelijke/kloosterling	2.0/4.0	2.0
M. Dufraing	https://www.dbnl.org/auteurs/auteur.php?id=dufr002	dufr002	M.	Dufraing	M. Dufraing	18xx-xx-xx						male		Twintigste Eeuw		secundair				
Alb. Raignier	https://www.dbnl.org/auteurs/auteur.php?id=raig001	raig001	Alb.	Raignier	Alb. Raignier	19xx-xx-xx						male	rk-geestelijke/kloosterling	Twintigste Eeuw		nonfictie		rooms-katholiek geestelijke/kloosterling	2.0/4.0	2.0
Alex Harlssen	https://www.dbnl.org/auteurs/auteur.php?id=harl007	harl007	Alex	Harlssen	Alex Harlssen	19xx-xx-xx						male		Twintigste Eeuw		nonfictie				
A.J. Michielsen	https://www.dbnl.org/auteurs/auteur.php?id=mich103	mich103	Albert	Michielsen	A.J. Michielsen	19xx-xx-xx						male		Twintigste Eeuw		nonfictie				
Peeters	https://www.dbnl.org/auteurs/auteur.php?id=peet076	peet076		Peeters	Peeters	19xx-xx-xx						male								
M.F. Schurmans	https://www.dbnl.org/auteurs/auteur.php?id=schu279	schu279	Marcel Frans Jozef Maria	Schurmans	M.F. Schurmans	1909-01-08	Baarle-Hertog	Nederland	1989-02-17	Aalst	België (Vlaanderen)	male	rk-geestelijke/kloosterling	Twintigste Eeuw		nonfictie		rooms-katholiek geestelijke/kloosterling	2.0/4.0	2.0
Louis H.M. Monden	https://www.dbnl.org/auteurs/auteur.php?id=mond006	mond006	Lodewijk Hendrik Maria	Monden	Louis H.M. Monden	1911-xx-xx			2002-xx-xx			male		Twintigste Eeuw		secundair				
J. De Munter	https://www.dbnl.org/auteurs/auteur.php?id=munt025	munt025	J.	De Munter	J. De Munter	19xx-xx-xx						male		Twintigste Eeuw		secundair				
H. Robbers	https://www.dbnl.org/auteurs/auteur.php?id=robb012	robb012	Joannes Henricus	Robbers	H. Robbers	1894-12-13			1970-11-07	Nijmegen	Nederland	male	leraar/docent/filosoof/hoogleraar	Twintigste Eeuw		nonfictie		hoogleraar/doctor in de filosofie/leraar/docent	2.0/2.0/2.0/2.0	2.0
L. Arts	https://www.dbnl.org/auteurs/auteur.php?id=arts004	arts004	Lodewijk Frans (Lode)	Arts	L. Arts	1901-xx-xx	Antwerpen	België (Vlaanderen)	1994-xx-xx			male	rk-geestelijke/kloosterling	Twintigste Eeuw		nonfictie		rooms-katholiek geestelijke/kloosterling	2.0/4.0	2.0
Jan van Gorp	https://www.dbnl.org/auteurs/auteur.php?id=gorp002	gorp002	Jan	van Gorp	Jan van Gorp	1883-xx-xx			1953-xx-xx			male		Twintigste Eeuw		taalkunde				
A. Dockx	https://www.dbnl.org/auteurs/auteur.php?id=dock004	dock004	A.	Dockx	A. Dockx	19xx-xx-xx						male		Twintigste Eeuw		secundair				
F. Beyers	https://www.dbnl.org/auteurs/auteur.php?id=beye041	beye041	F.	Beyers	F. Beyers	19xx-xx-xx						male		Twintigste Eeuw		secundair				
J.M. Eylenbosch	https://www.dbnl.org/auteurs/auteur.php?id=eyle004	eyle004	J.M.	Eylenbosch	J.M. Eylenbosch	18xx-xx-xx						male		Twintigste Eeuw		taalkunde				
J. Christelbach	https://www.dbnl.org/auteurs/auteur.php?id=chri046	chri046	J.	Christelbach	J. Christelbach	18xx-xx-xx						male		Twintigste Eeuw		secundair				
J. Donceel	https://www.dbnl.org/auteurs/auteur.php?id=donc026	donc026	J.	Donceel	J. Donceel	18xx-xx-xx						male	rk-geestelijke/kloosterling	Twintigste Eeuw		nonfictie		rooms-katholiek geestelijke/kloosterling	2.0/4.0	2.0
L. Verhaegen	https://www.dbnl.org/auteurs/auteur.php?id=verh245	verh245	L.	Verhaegen	L. Verhaegen	18xx-xx-xx						male		Twintigste Eeuw		nonfictie				
E. Verstraelen	https://www.dbnl.org/auteurs/auteur.php?id=vers217	vers217	E.	Verstraelen	E. Verstraelen	18xx-xx-xx						male	rk-geestelijke/kloosterling	Twintigste Eeuw		nonfictie		rooms-katholiek geestelijke/kloosterling	2.0/4.0	2.0
Fernand Van Goethem	https://www.dbnl.org/auteurs/auteur.php?id=goet042	goet042	Fernand Antoine	Van Goethem	Fernand Van Goethem	1895-08-01	Lokeren	België (Vlaanderen)	1974-01-09	Gent	België (Vlaanderen)	male	leraar/docent/filosoof/hoogleraar	20e/21e Eeuw	fr	nonfictie		hoogleraar/doctor in de filosofie/leraar/docent	2.0/2.0/2.0/2.0	2.0
J. Nolf	https://www.dbnl.org/auteurs/auteur.php?id=nolf004	nolf004	J.	Nolf	J. Nolf	19xx-xx-xx						male		Twintigste Eeuw		nonfictie				
A. De Raedt	https://www.dbnl.org/auteurs/auteur.php?id=raed009	raed009	A.	De Raedt	A. De Raedt	18xx-xx-xx						male	rk-geestelijke/kloosterling	Twintigste Eeuw		nonfictie		rooms-katholiek geestelijke/kloosterling	2.0/4.0	2.0
H. Bruders	https://www.dbnl.org/auteurs/auteur.php?id=brud002	brud002	Heinrich	Bruders	H. Bruders	18xx-xx-xx						male		Twintigste Eeuw		nonfictie/buitenland				
L. Elaut	https://www.dbnl.org/auteurs/auteur.php?id=elau001	elau001	Léon Jozef Stephaan	Elaut	L. Elaut	1897-12-26	Gentbrugge	België (Vlaanderen)	1978-04-02	Gent	België (Vlaanderen)	male	apotheker/medicus	Twintigste Eeuw	nl	secundair		medicus/apotheker	2.0/2.0	2.0
E.J. Vandenbussche	https://www.dbnl.org/auteurs/auteur.php?id=vand191	vand191	E.J.	Vandenbussche	E.J. Vandenbussche	18xx-xx-xx						male	rk-geestelijke/kloosterling	Twintigste Eeuw		secundair		rooms-katholiek geestelijke/kloosterling	2.0/4.0	2.0
W. Matthijs	https://www.dbnl.org/auteurs/auteur.php?id=matt090	matt090	W.	Matthijs	W. Matthijs	18xx-xx-xx						male		Twintigste Eeuw		nonfictie				
Angelo Brucculeri	https://www.dbnl.org/auteurs/auteur.php?id=bruc022	bruc022	Angelo	Brucculeri	Angelo Brucculeri							male	rk-geestelijke/kloosterling	Twintigste Eeuw		nonfictie		rooms-katholiek geestelijke/kloosterling	2.0/4.0	2.0
H. Thielemans	https://www.dbnl.org/auteurs/auteur.php?id=thie064	thie064	H.	Thielemans	H. Thielemans	18xx-xx-xx						male	rk-geestelijke/kloosterling	Twintigste Eeuw		nonfictie		rooms-katholiek geestelijke/kloosterling	2.0/4.0	2.0
K.M. Houtaar	https://www.dbnl.org/auteurs/auteur.php?id=hout119	hout119	K.M.	Houtaar	K.M. Houtaar	18xx-xx-xx						male		19e/20e Eeuw		nonfictie				
J. Valk	https://www.dbnl.org/auteurs/auteur.php?id=valk082	valk082	J.	Valk	J. Valk	18xx-xx-xx						male		Twintigste Eeuw		nonfictie				
Maria Gerarda	https://www.dbnl.org/auteurs/auteur.php?id=gera025	gera025	Maria	Gerarda	Maria Gerarda	18xx-xx-xx						female	rk-geestelijke/kloosterling	Twintigste Eeuw		nonfictie		rooms-katholiek geestelijke/kloosterling	2.0/4.0	2.0
A. Seeldraeyers	https://www.dbnl.org/auteurs/auteur.php?id=seel001	seel001	A.	Seeldraeyers	A. Seeldraeyers	19xx-xx-xx						male		Twintigste Eeuw		taalkunde				
Alb. Block	https://www.dbnl.org/auteurs/auteur.php?id=bloc044	bloc044	Alb.	Block	Alb. Block	18xx-xx-xx						male		Twintigste Eeuw		nonfictie				
P. Lassalle	https://www.dbnl.org/auteurs/auteur.php?id=lass009	lass009	P.	Lassalle	P. Lassalle	18xx-xx-xx						male		Twintigste Eeuw		nonfictie				
J. van Heugten	https://www.dbnl.org/auteurs/auteur.php?id=heug001	heug001	J.	van Heugten	J. van Heugten	1890-03-07	Asten	Nederland	1963-01-31	Amsterdam	Nederland	male	rk-geestelijke/kloosterling	Twintigste Eeuw	nl	secundair		rooms-katholiek geestelijke/kloosterling	2.0/4.0	2.0
August Brunner	https://www.dbnl.org/auteurs/auteur.php?id=brun087	brun087	August	Brunner	August Brunner	1894-01-03	Orschwihr	Frankrijk	1985-04-11	München	Duitsland	male	filosoof/theoloog	Twintigste Eeuw	de	nonfictie		theoloog/doctor in de filosofie	2.0/2.0	2.0
Emiel van Coppenolle	https://www.dbnl.org/auteurs/auteur.php?id=copp039	copp039	Emiel	van Coppenolle	Emiel van Coppenolle	1890-05-02	Bovekerke	België (Vlaanderen)		Roeselare	België (Vlaanderen)	male	rk-geestelijke/kloosterling	Twintigste Eeuw		nonfictie		rooms-katholiek geestelijke/kloosterling	2.0/4.0	2.0
W. Arts	https://www.dbnl.org/auteurs/auteur.php?id=arts005	arts005	W.	Arts	W. Arts	18xx-xx-xx						male		Twintigste Eeuw		nonfictie				
Hub. Gesp	https://www.dbnl.org/auteurs/auteur.php?id=gesp002	gesp002	Hub.	Gesp	Hub. Gesp	18xx-xx-xx						male	leraar/docent/hoogleraar	Twintigste Eeuw		nonfictie		hoogleraar/leraar/docent	2.0/2.0/2.0	2.0
P. Nelis	https://www.dbnl.org/auteurs/auteur.php?id=neli012	neli012	P.	Nelis	P. Nelis	18xx-xx-xx						male		Twintigste Eeuw		secundair				
H.F. Koster	https://www.dbnl.org/auteurs/auteur.php?id=kost048	kost048	H.F.	Koster	H.F. Koster	1899-xx-xx						male	rk-geestelijke/kloosterling	Twintigste Eeuw		nonfictie		rooms-katholiek geestelijke/kloosterling	2.0/4.0	2.0
G. De Wolf	https://www.dbnl.org/auteurs/auteur.php?id=wolf097	wolf097	G.	De Wolf	G. De Wolf	19xx-xx-xx						male		Twintigste Eeuw		secundair				
F. Schröder	https://www.dbnl.org/auteurs/auteur.php?id=schr204	schr204	F.	Schröder	F. Schröder	18xx-xx-xx						male		Twintigste Eeuw		nonfictie				
Maurice Claeys Bouuaert	https://www.dbnl.org/auteurs/auteur.php?id=clae111	clae111	Maurice	Claeys Bouuaert	Maurice Claeys Bouuaert	18xx-xx-xx						male	rk-geestelijke/kloosterling	Twintigste Eeuw		secundair		rooms-katholiek geestelijke/kloosterling	2.0/4.0	2.0
A. Snoeck	https://www.dbnl.org/auteurs/auteur.php?id=snoe032	snoe032	A.	Snoeck	A. Snoeck	19xx-xx-xx						male	rk-geestelijke/kloosterling	Twintigste Eeuw		secundair		rooms-katholiek geestelijke/kloosterling	2.0/4.0	2.0
V. Uyttenbroeck	https://www.dbnl.org/auteurs/auteur.php?id=uytt012	uytt012	V.	Uyttenbroeck	V. Uyttenbroeck	19xx-xx-xx						male		Twintigste Eeuw		secundair				
R. Dellaert	https://www.dbnl.org/auteurs/auteur.php?id=dell004	dell004	René	Dellaert	R. Dellaert	1906-xx-xx			1979-xx-xx			male	ps.ther./psychol/zielsverzorger	Twintigste Eeuw		nonfictie		psycholoog/zielmaker	2.0/7.0	2.0
J.I. Corrigan	https://www.dbnl.org/auteurs/auteur.php?id=corr008	corr008	J.I.	Corrigan	J.I. Corrigan	18xx-xx-xx						male		Twintigste Eeuw		nonfictie				
B. De Wint	https://www.dbnl.org/auteurs/auteur.php?id=wint064	wint064	Ben E.A.	De Wint	B. De Wint	18xx-xx-xx						male	rk-geestelijke/kloosterling	Twintigste Eeuw		secundair		rooms-katholiek geestelijke/kloosterling	2.0/4.0	2.0
C. Dumortier	https://www.dbnl.org/auteurs/auteur.php?id=dumo021	dumo021	C.	Dumortier	C. Dumortier	18xx-xx-xx						male	rk-geestelijke/kloosterling	Twintigste Eeuw		secundair		rooms-katholiek geestelijke/kloosterling	2.0/4.0	2.0
P. Indekeu	https://www.dbnl.org/auteurs/auteur.php?id=inde004	inde004	P.	Indekeu	P. Indekeu	19xx-xx-xx						male	rk-geestelijke/kloosterling	Twintigste Eeuw		secundair		rooms-katholiek geestelijke/kloosterling	2.0/4.0	2.0
G. Geniets	https://www.dbnl.org/auteurs/auteur.php?id=geni004	geni004	G.	Geniets	G. Geniets	18xx-xx-xx						male	rk-geestelijke/kloosterling	Twintigste Eeuw		secundair		rooms-katholiek geestelijke/kloosterling	2.0/4.0	2.0
F. Bouchout	https://www.dbnl.org/auteurs/auteur.php?id=bouc041	bouc041	F.	Bouchout	F. Bouchout	18xx-xx-xx						male		Twintigste Eeuw		secundair				
E.A. Ryan	https://www.dbnl.org/auteurs/auteur.php?id=ryan001	ryan001	E.A.	Ryan	E.A. Ryan	18xx-xx-xx						male		Twintigste Eeuw		nonfictie				
A. Grootjans	https://www.dbnl.org/auteurs/auteur.php?id=groo185	groo185	A.	Grootjans	A. Grootjans	18xx-xx-xx						male		Twintigste Eeuw		nonfictie				
A. Antonissen	https://www.dbnl.org/auteurs/auteur.php?id=anto022	anto022	A.	Antonissen	A. Antonissen	18xx-xx-xx						male		Twintigste Eeuw		secundair				
Jan Jozef van Laer	https://www.dbnl.org/auteurs/auteur.php?id=laer004	laer004	Jan Jozef	van Laer	Jan Jozef van Laer	1908-xx-xx	Turnhout	België (Vlaanderen)				male	rk-geestelijke/kloosterling	Twintigste Eeuw	nl	jeugdliteratuur		rooms-katholiek geestelijke/kloosterling	2.0/4.0	2.0
Arthur Van Hoof	https://www.dbnl.org/auteurs/auteur.php?id=hoof084	hoof084	Arthur	Van Hoof	Arthur Van Hoof	1899-xx-xx						male		20e/21e Eeuw		nonfictie				
L.G. Polspoel	https://www.dbnl.org/auteurs/auteur.php?id=pols011	pols011	Gaston	Polspoel	L.G. Polspoel	18xx-xx-xx						male		Twintigste Eeuw		secundair/nonfictie				
W. De Roy	https://www.dbnl.org/auteurs/auteur.php?id=roy_029	roy_029	W.	De Roy	W. De Roy	18xx-xx-xx						male		Twintigste Eeuw		secundair				
A. Seeldrayers	https://www.dbnl.org/auteurs/auteur.php?id=seel003	seel003	A.	Seeldrayers	A. Seeldrayers	18xx-xx-xx						male	rk-geestelijke/kloosterling	Twintigste Eeuw		secundair		rooms-katholiek geestelijke/kloosterling	2.0/4.0	2.0
Marcel van Caster	https://www.dbnl.org/auteurs/auteur.php?id=cast070	cast070	Marcel	van Caster	Marcel van Caster	19xx-xx-xx						male	rk-geestelijke/kloosterling	Twintigste Eeuw		secundair/nonfictie		rooms-katholiek geestelijke/kloosterling	2.0/4.0	2.0
Reinhold Van Lennep	https://www.dbnl.org/auteurs/auteur.php?id=lenn036	lenn036	Reinhold	Van Lennep	Reinhold Van Lennep	19xx-xx-xx						male		Twintigste Eeuw		secundair/nonfictie				
R. Caron	https://www.dbnl.org/auteurs/auteur.php?id=caro023	caro023	R.	Caron	R. Caron	19xx-xx-xx						male		Twintigste Eeuw		nonfictie				
A. Darquennes	https://www.dbnl.org/auteurs/auteur.php?id=darq002	darq002	Achille J.P.	Darquennes	A. Darquennes/Achille Darquennes	1909-09-14	Kapelle op den Bos	België (Vlaanderen)	1959-08-01	Keulen	Duitsland	male	kloosterling/leraar/hoogleraar/docent/rk-geestelijke	Twintigste Eeuw		secundair/nonfictie		hoogleraar/rooms-katholiek geestelijke/leraar/docent/kloosterling	2.0/2.0/2.0/2.0/4.0	2.0
L. Verelst	https://www.dbnl.org/auteurs/auteur.php?id=vere042	vere042	L.	Verelst	L. Verelst	19xx-xx-xx						male		Twintigste Eeuw		secundair				
A. de Guchteneere	https://www.dbnl.org/auteurs/auteur.php?id=guch012	guch012	A.	de Guchteneere	A. de Guchteneere	19xx-xx-xx						male		Twintigste Eeuw		nonfictie				
J. Volckaert	https://www.dbnl.org/auteurs/auteur.php?id=volc009	volc009	J.	Volckaert	J. Volckaert	19xx-xx-xx						male	rk-geestelijke/kloosterling	Twintigste Eeuw		secundair		rooms-katholiek geestelijke/kloosterling	2.0/4.0	2.0
L. Vander Kerken	https://www.dbnl.org/auteurs/auteur.php?id=kerk001	kerk001	Libert André	Vander Kerken	L. Vander Kerken	1910-xx-xx			1998-xx-xx			male		Twintigste Eeuw	nl	secundair/nonfictie				
